Name | PhoneNumber | Address | Rating | Lat | Lng | OpeningHours
Kingston Taphouse & Grille|(604) 681-7011|755 Richards St, Vancouver, BC V6B 3A6, Canada|3.9|49.28085369999999|-123.1172788| Monday: 11:30 AM – 10:00 PM Tuesday: 11:30 AM – 11:00 PM Wednesday: 11:30 AM – 11:00 PM Thursday: 11:30 AM – 11:00 PM Friday: 11:30 AM – 12:00 AM Saturday: 10:00 AM – 12:00 AM Sunday: 10:00 AM – 10:00 PM
Delta Hotels by Marriott Vancouver Downtown Suites|(604) 689-8188|550 W Hastings St, Vancouver, BC V6B 1L6, Canada|4.4|49.28414|-123.112589| Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours
OPUS Vancouver|(604) 642-6787|322 Davie St, Vancouver, BC V6B 5Z6, Canada|4.6|49.2746307|-123.1225589| Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours
Medina|(604) 879-3114|780 Richards St, Vancouver, BC V6B 3A4, Canada|4.4|49.2805145|-123.1168509| Monday: 8:00 AM – 3:00 PM Tuesday: 8:00 AM – 3:00 PM Wednesday: 8:00 AM – 3:00 PM Thursday: 8:00 AM – 3:00 PM Friday: 8:00 AM – 3:00 PM Saturday: 9:00 AM – 3:00 PM Sunday: 9:00 AM – 3:00 PM
Rogue Kitchen & Wetbar|(604) 678-8000|601 W Cordova St, Vancouver, BC V6B 1E1, Canada|3.6|49.2853923|-123.1114258| Monday: 11:30 AM – 11:00 PM Tuesday: 11:30 AM – 12:00 AM Wednesday: 11:30 AM – 12:00 AM Thursday: 11:30 AM – 12:00 AM Friday: 11:30 AM – 1:00 AM Saturday: 11:30 AM – 1:00 AM Sunday: 11:30 AM – 11:00 PM
Bonchaz Bakery Cafe|(604) 568-0084|426 W Hastings St, Vancouver, BC V6B 1L1, Canada|4.1|49.28359039999999|-123.1115798| Monday: 7:00 AM – 7:00 PM Tuesday: 7:00 AM – 7:00 PM Wednesday: 7:00 AM – 7:00 PM Thursday: 7:00 AM – 7:00 PM Friday: 7:00 AM – 7:00 PM Saturday: 9:00 AM – 5:00 PM Sunday: 10:00 AM – 5:00 PM
Save On Meats|(604) 569-3568|43 W Hastings St, Vancouver, BC V6B 1G4, Canada|4.1|49.28191969999999|-123.1060432| Monday: 11:00 AM – 7:00 PM Tuesday: 11:00 AM – 7:00 PM Wednesday: 11:00 AM – 7:00 PM Thursday: 11:00 AM – 7:00 PM Friday: 11:00 AM – 7:00 PM Saturday: 11:00 AM – 7:00 PM Sunday: 11:00 AM – 7:00 PM
Meat & Bread|undefined|370 Cambie St, Vancouver, BC V6B 1H7, Canada|4.6|49.282624|-123.1093763| Monday: 11:00 AM – 5:00 PM Tuesday: 11:00 AM – 5:00 PM Wednesday: 11:00 AM – 5:00 PM Thursday: 11:00 AM – 7:30 PM Friday: 11:00 AM – 7:30 PM Saturday: 11:00 AM – 7:30 PM Sunday: 11:00 AM – 4:00 PM
The Keg Steakhouse + Bar|(604) 633-2534|1011 Mainland St, Vancouver, BC V6B 5P9, Canada|4.3|49.27655060000001|-123.1194088| Monday: 4:00 PM – 12:00 AM Tuesday: 4:00 PM – 12:00 AM Wednesday: 4:00 PM – 12:00 AM Thursday: 4:00 PM – 12:00 AM Friday: 4:00 PM – 1:30 AM Saturday: 4:00 PM – 1:30 AM Sunday: 4:00 PM – 12:00 AM
Fatburger|(604) 568-7077|255 W Broadway, Vancouver, BC V5Y 1P5, Canada|3.8|49.2633138|-123.1106775| Monday: 10:30 AM – 9:00 PM Tuesday: 10:30 AM – 9:00 PM Wednesday: 10:30 AM – 9:00 PM Thursday: 10:30 AM – 9:00 PM Friday: 10:30 AM – 10:00 PM Saturday: 10:30 AM – 10:00 PM Sunday: 10:30 AM – 9:00 PM
Jules|(604) 669-0033|216 Abbott St, Vancouver, BC V6B 2K8, Canada|4.1|49.2834354|-123.1063868| Monday: Closed Tuesday: 11:30 AM – 9:00 PM Wednesday: 11:30 AM – 9:00 PM Thursday: 11:30 AM – 9:00 PM Friday: 11:30 AM – 9:30 PM Saturday: 11:30 AM – 9:30 PM Sunday: 11:30 AM – 9:00 PM
Revel Room|(604) 687-4088|238 Abbott St, Vancouver, BC V6B 2K8, Canada|4.2|49.28307|-123.10657| Monday: Closed Tuesday: 4:00 PM – 1:00 AM Wednesday: 4:00 PM – 1:00 AM Thursday: 4:00 PM – 1:00 AM Friday: 4:00 PM – 2:00 AM Saturday: 4:00 PM – 2:00 AM Sunday: 4:00 PM – 12:00 AM
Subway|(604) 622-7787|1055 W Georgia St #232, Vancouver, BC V6E 4M7, Canada|undefined|49.2853115|-123.1215951| Monday: 7:00 AM – 5:00 PM Tuesday: 7:00 AM – 5:00 PM Wednesday: 7:00 AM – 5:00 PM Thursday: 7:00 AM – 5:00 PM Friday: 7:00 AM – 5:00 PM Saturday: 10:00 AM – 3:00 PM Sunday: Closed
Chambar Restaurant|(604) 879-7119|568 Beatty St, Vancouver, BC V6B 2L3, Canada|4.3|49.2801271|-123.1099351| Monday: 8:00 AM – 12:00 AM Tuesday: 8:00 AM – 12:00 AM Wednesday: 8:00 AM – 12:00 AM Thursday: 8:00 AM – 12:00 AM Friday: 8:00 AM – 12:00 AM Saturday: 8:00 AM – 12:00 AM Sunday: 8:00 AM – 12:00 AM
Gyu-Kaku Japanese BBQ|(604) 558-3885|888 Nelson St G3, Vancouver, BC V6Z 2H1, Canada|4.4|49.2800787|-123.1251972| Monday: 11:30 AM – 10:30 PM Tuesday: 11:30 AM – 10:30 PM Wednesday: 11:30 AM – 10:30 PM Thursday: 11:30 AM – 10:30 PM Friday: 11:30 AM – 11:30 PM Saturday: 11:30 AM – 11:30 PM Sunday: 11:30 AM – 10:30 PM
Motomachi Shokudo|(604) 609-0310|740 Denman St, Vancouver, BC V6G 2L5, Canada|4.3|49.2918534|-123.1345642| Monday: 12:00 – 11:00 PM Tuesday: 12:00 – 11:00 PM Wednesday: Closed Thursday: 12:00 – 11:00 PM Friday: 12:00 – 11:00 PM Saturday: 12:00 – 11:00 PM Sunday: 12:00 – 11:00 PM
Samurai Japanese Restaurant|(604) 609-0078|1108 Davie St, Vancouver, BC V6E 1N1, Canada|4|49.2805439|-123.1317481| Monday: 11:00 AM – 11:00 PM Tuesday: 11:00 AM – 11:00 PM Wednesday: 11:00 AM – 11:00 PM Thursday: 11:00 AM – 11:00 PM Friday: 11:00 AM – 12:00 AM Saturday: 11:00 AM – 12:00 AM Sunday: 11:00 AM – 11:00 PM
Granville Island Brewing|(604) 687-2739|1441 Cartwright St, Vancouver, BC V6H 3R7, Canada|4.3|49.270502|-123.135661| Monday: 11:00 AM – 9:00 PM Tuesday: 11:00 AM – 9:00 PM Wednesday: 11:00 AM – 9:00 PM Thursday: 11:00 AM – 9:00 PM Friday: 11:00 AM – 9:00 PM Saturday: 11:00 AM – 9:00 PM Sunday: 11:00 AM – 9:00 PM
Joyeaux Café & Restaurant|(604) 681-9168|551 Howe St, Vancouver, BC V6C 2C2, Canada|4.2|49.2847945|-123.1168886| Monday: 7:00 AM – 9:00 PM Tuesday: 7:00 AM – 9:00 PM Wednesday: 7:00 AM – 9:00 PM Thursday: 7:00 AM – 9:00 PM Friday: 7:00 AM – 9:00 PM Saturday: 7:00 AM – 8:00 PM Sunday: 7:00 AM – 8:00 PM
Ebisu On Robson|(604) 689-8266|827 Bute St, Vancouver, BC V6E 3Y4, Canada|3.8|49.28595240000001|-123.1275055| Monday: 12:00 PM – 12:00 AM Tuesday: 12:00 PM – 12:00 AM Wednesday: 12:00 PM – 12:00 AM Thursday: 12:00 PM – 12:00 AM Friday: 12:00 PM – 1:00 AM Saturday: 3:00 PM – 1:00 AM Sunday: 3:00 PM – 12:00 AM
Guu Garden|(604) 899-0855|888 Nelson St M101, Vancouver, BC V6Z 2H2, Canada|4.1|49.2800364|-123.1252786| Monday: 11:30 AM – 3:00 PM, 5:30 PM – 12:00 AM Tuesday: 11:30 AM – 3:00 PM, 5:30 PM – 12:00 AM Wednesday: 11:30 AM – 3:00 PM, 5:30 PM – 12:00 AM Thursday: 11:30 AM – 3:00 PM, 5:30 PM – 12:00 AM Friday: 11:30 AM – 3:00 PM, 5:30 PM – 12:30 AM Saturday: 12:00 – 3:30 PM, 5:30 PM – 12:30 AM Sunday: 12:00 – 3:30 PM, 5:30 PM – 12:00 AM
Cactus Club Cafe Broadway & Ash|(604) 714-6000|575 W Broadway, Vancouver, BC V5Z 1E6, Canada|4.1|49.2634877|-123.1171827| Monday: 11:00 AM – 12:00 AM Tuesday: 11:00 AM – 12:00 AM Wednesday: 11:00 AM – 12:00 AM Thursday: 11:00 AM – 12:00 AM Friday: 11:00 AM – 1:00 AM Saturday: 11:00 AM – 1:00 AM Sunday: 11:00 AM – 12:00 AM
Hub Restaurant|(604) 696-0400|1165 Mainland St, Vancouver, BC V6B 5P2, Canada|3.7|49.2749415|-123.1217991| Monday: 11:00 AM – 12:00 AM Tuesday: 11:00 AM – 12:00 AM Wednesday: 11:00 AM – 12:00 AM Thursday: 11:00 AM – 12:00 AM Friday: 11:00 AM – 1:00 AM Saturday: 10:00 AM – 1:00 AM Sunday: 10:00 AM – 12:00 AM
Hapa Izakaya|(604) 681-4272|1193 Hamilton St, Vancouver, BC V6B 5P6, Canada|4.2|49.2751446|-123.1225872| Monday: 5:00 PM – 12:00 AM Tuesday: 5:00 PM – 12:00 AM Wednesday: 5:00 PM – 12:00 AM Thursday: 5:00 PM – 12:00 AM Friday: 5:00 PM – 12:00 AM Saturday: 5:00 PM – 12:00 AM Sunday: 5:00 PM – 12:00 AM
Red Card Sports Bar + Eatery|(604) 689-4460|560 Smithe St, Vancouver, BC V6B 3L9, Canada|3.6|49.27935429999999|-123.1202674| Monday: 11:30 AM – 1:00 AM Tuesday: 11:30 AM – 1:00 AM Wednesday: 11:30 AM – 1:00 AM Thursday: 11:30 AM – 1:00 AM Friday: 11:30 AM – 2:00 AM Saturday: 11:30 AM – 2:00 AM Sunday: 11:30 AM – 1:00 AM
Caffe Artigiano|(604) 915-7200|740 W Hastings St, Vancouver, BC V6B 1N9, Canada|4.1|49.28571079999999|-123.1147683| Monday: 6:00 AM – 5:30 PM Tuesday: 6:00 AM – 5:30 PM Wednesday: 6:00 AM – 5:30 PM Thursday: 6:00 AM – 5:30 PM Friday: 6:00 AM – 5:30 PM Saturday: 7:00 AM – 5:00 PM Sunday: 7:30 AM – 5:00 PM
Moxie's Grill & Bar|(604) 684-8434|180 W Georgia St, Vancouver, BC V6B 4P4, Canada|2.6|49.27899299999999|-123.1131173| Monday: 6:30 AM – 12:00 AM Tuesday: 6:30 AM – 12:00 AM Wednesday: 6:30 AM – 12:00 AM Thursday: 6:30 AM – 12:00 AM Friday: 6:30 AM – 1:00 AM Saturday: 6:30 AM – 1:00 AM Sunday: 6:30 AM – 11:00 PM
Fatburger|(604) 689-8858|1101 Denman St, Vancouver, BC V6G 2M7, Canada|3.7|49.28835309999999|-123.140408| Monday: 10:00 AM – 10:00 PM Tuesday: 10:00 AM – 10:00 PM Wednesday: 10:00 AM – 10:00 PM Thursday: 10:00 AM – 10:00 PM Friday: 9:00 AM – 10:00 PM Saturday: 9:00 AM – 10:00 PM Sunday: 9:00 AM – 10:00 PM
Catch 122 Cafe Bistro|(604) 731-3474|122 W Hastings St, Vancouver, BC V6B 1G8, Canada|4.3|49.28189059999999|-123.108126| Monday: 8:00 AM – 3:00 PM Tuesday: 8:00 AM – 3:00 PM, 5:00 – 10:00 PM Wednesday: 8:00 AM – 3:00 PM, 5:00 – 10:00 PM Thursday: 8:00 AM – 3:00 PM, 5:00 – 10:00 PM Friday: 8:00 AM – 3:00 PM, 5:00 – 10:30 PM Saturday: 9:00 AM – 3:00 PM, 5:00 – 10:30 PM Sunday: 9:00 AM – 3:00 PM
Library Square Public House|(604) 633-9644|300 W Georgia St, Vancouver, BC V6B 6B4, Canada|3.6|49.2801172|-123.1148791| Monday: 11:30 AM – 2:00 AM Tuesday: 11:30 AM – 2:00 AM Wednesday: 11:30 AM – 2:00 AM Thursday: 11:30 AM – 2:00 AM Friday: 11:30 AM – 3:00 AM Saturday: 11:00 AM – 3:00 AM Sunday: 11:00 AM – 2:00 AM
Soho Billiards|(604) 688-1180|1283 Hamilton St, Vancouver, BC V6B 6K3, Canada|4.1|49.274121|-123.1241367| Monday: 12:00 PM – 2:00 AM Tuesday: 12:00 PM – 2:00 AM Wednesday: 12:00 PM – 2:00 AM Thursday: 12:00 PM – 2:00 AM Friday: 12:00 PM – 3:00 AM Saturday: 12:00 PM – 3:00 AM Sunday: 12:00 PM – 2:00 AM
Honjin Yaletown Sushi Restaurant|(604) 688-8808|138 Davie St, Vancouver, BC V6Z 2V4, Canada|3.8|49.273095|-123.121097| Monday: 11:30 AM – 2:30 PM, 5:00 – 10:00 PM Tuesday: 11:30 AM – 2:30 PM, 5:00 – 10:00 PM Wednesday: 11:30 AM – 2:30 PM, 5:00 – 10:00 PM Thursday: 11:30 AM – 2:30 PM, 5:00 – 10:00 PM Friday: 11:30 AM – 2:30 PM, 5:00 – 10:30 PM Saturday: 12:00 – 3:00 PM, 5:00 – 10:30 PM Sunday: 12:00 – 3:00 PM, 5:00 – 10:00 PM
Joe Fortes Seafood & Chop House|(604) 669-1940|777 Thurlow St, Vancouver, BC V6E 3V5, Canada|4.4|49.28501740000001|-123.1245057| Monday: 11:00 AM – 11:00 PM Tuesday: 11:00 AM – 11:00 PM Wednesday: 11:00 AM – 11:00 PM Thursday: 11:00 AM – 11:00 PM Friday: 11:00 AM – 11:00 PM Saturday: 11:00 AM – 11:00 PM Sunday: 11:00 AM – 11:00 PM
Lupo Restaurant & Vinoteca|(604) 569-2535|869 Hamilton St, Vancouver, BC V6B 2R7, Canada|4.6|49.2781844|-123.1173337| Monday: 5:00 – 9:00 PM Tuesday: 5:00 – 9:00 PM Wednesday: 5:00 – 9:00 PM Thursday: 5:00 – 9:00 PM Friday: 5:00 – 9:00 PM Saturday: 5:00 – 9:30 PM Sunday: 5:00 – 9:30 PM
Shabusen Yakiniku House|(604) 669-3883|755 Burrard St, Vancouver, BC V6Z 1X6, Canada|3.6|49.2839983|-123.1223368| Monday: 11:00 AM – 2:30 PM, 5:00 – 10:30 PM Tuesday: 11:00 AM – 2:30 PM, 5:00 – 10:30 PM Wednesday: 11:00 AM – 2:30 PM, 5:00 – 10:30 PM Thursday: 11:00 AM – 2:30 PM, 5:00 – 10:30 PM Friday: 11:00 AM – 2:30 PM, 5:00 – 10:30 PM Saturday: 11:00 AM – 2:30 PM, 5:00 – 10:30 PM Sunday: 11:00 AM – 2:30 PM, 5:00 – 10:30 PM
The Diamond|(604) 568-8272|6 Powell St, Vancouver, BC V6B 1E7, Canada|4.2|49.2831807|-123.1039533| Monday: 5:30 PM – 1:00 AM Tuesday: 5:30 PM – 1:00 AM Wednesday: 5:30 PM – 1:00 AM Thursday: 5:30 PM – 1:00 AM Friday: 5:30 PM – 2:00 AM Saturday: 5:30 PM – 2:00 AM Sunday: 5:30 PM – 12:00 AM
Cloud 9 Revolving Restaurant & Lounge|(604) 687-0511|1400 Robson St, Vancouver, BC V6G 1B9, Canada|3.4|49.28822659999999|-123.1309432| Monday: 6:30 – 10:00 AM, 5:00 – 11:30 PM Tuesday: 6:30 – 10:00 AM, 5:00 – 11:30 PM Wednesday: 6:30 – 10:00 AM, 5:00 – 11:30 PM Thursday: 6:30 – 10:00 AM, 5:00 – 11:30 PM Friday: 6:30 – 10:00 AM, 5:00 PM – 12:00 AM Saturday: 6:30 – 10:00 AM, 5:00 PM – 12:00 AM Sunday: 6:30 – 10:00 AM, 5:00 – 11:30 PM
JAPADOG|(604) 569-1158|530 Robson St, Vancouver, BC V6B 2B7, Canada|4|49.28025170000001|-123.1183271| Monday: 10:00 AM – 10:00 PM Tuesday: 10:00 AM – 10:00 PM Wednesday: 10:00 AM – 10:00 PM Thursday: 10:00 AM – 10:00 PM Friday: 10:00 AM – 10:00 PM Saturday: 10:00 AM – 10:00 PM Sunday: 10:00 AM – 9:00 PM
Blue Water Cafe|(604) 688-8078|1095 Hamilton St, Vancouver, BC V6B 5T4, Canada|4.5|49.276155|-123.1211291| Monday: 4:30 PM – 1:00 AM Tuesday: 4:30 PM – 1:00 AM Wednesday: 4:30 PM – 1:00 AM Thursday: 4:30 PM – 1:00 AM Friday: 4:30 PM – 1:00 AM Saturday: 4:30 PM – 1:00 AM Sunday: 4:30 PM – 1:00 AM
Apollonia Greek Restaurant|(604) 736-9559|1830 Fir St, Vancouver, BC V6J 3B1, Canada|4.3|49.2694416|-123.1406537| Monday: Closed Tuesday: 5:00 – 9:30 PM Wednesday: 11:30 AM – 2:30 PM, 5:00 – 9:30 PM Thursday: 11:30 AM – 2:30 PM, 5:00 – 9:30 PM Friday: 11:30 AM – 2:30 PM, 5:00 – 9:30 PM Saturday: 5:00 – 9:30 PM Sunday: 5:00 – 9:30 PM
Nook|(604) 568-4554|781 Denman St, Vancouver, BC V6G 2L6, Canada|4.4|49.291747|-123.1353434| Monday: 5:00 – 10:00 PM Tuesday: 5:00 – 10:00 PM Wednesday: 5:00 – 10:00 PM Thursday: 5:00 – 10:00 PM Friday: 5:00 – 11:00 PM Saturday: 5:00 – 11:00 PM Sunday: 5:00 – 10:00 PM
JOEY Burrard|(604) 683-5639|820 Burrard St, Vancouver, BC V6Z1X9, Canada|4.2|49.28260600000001|-123.1231879| Monday: 11:00 AM – 1:00 AM Tuesday: 11:00 AM – 1:00 AM Wednesday: 11:00 AM – 1:00 AM Thursday: 11:00 AM – 1:00 AM Friday: 11:00 AM – 2:00 AM Saturday: 11:00 AM – 2:00 AM Sunday: 11:00 AM – 1:00 AM
Nicli Antica Pizzeria|(604) 669-6985|62 E Cordova St, Vancouver, BC V6A 4G8, Canada|4.4|49.2821688|-123.1027761| Monday: 11:30 AM – 10:00 PM Tuesday: 11:30 AM – 10:00 PM Wednesday: 11:30 AM – 11:00 PM Thursday: 11:30 AM – 11:00 PM Friday: 11:30 AM – 12:00 AM Saturday: 11:30 AM – 12:00 AM Sunday: 11:30 AM – 11:00 PM
Frankie's Italian Kitchen & Bar|(604) 688-6368|765 Beatty St, Vancouver, BC V6B 2M4, Canada|4.1|49.2781514|-123.1134082| Monday: 7:00 AM – 11:00 PM Tuesday: 7:00 AM – 11:00 PM Wednesday: 7:00 AM – 11:00 PM Thursday: 7:00 AM – 11:00 PM Friday: 7:00 AM – 12:00 AM Saturday: 7:00 AM – 12:00 AM Sunday: 7:00 AM – 10:00 PM
Black Frog Eatery|(604) 602-0527|108 Cambie St, Vancouver, BC V6B 2M8, Canada|4.1|49.2846266|-123.1085651| Monday: 11:30 AM – 1:00 AM Tuesday: 11:30 AM – 1:00 AM Wednesday: 11:30 AM – 1:00 AM Thursday: 11:30 AM – 1:00 AM Friday: 11:30 AM – 2:00 AM Saturday: 12:00 PM – 2:00 AM Sunday: 12:00 PM – 12:00 AM
The Old Spaghetti Factory (Gastown, Vancouver)|(604) 684-1288|53 Water St, Vancouver, BC V6B 1A1, Canada|4.1|49.2838051|-123.1053723| Monday: 11:00 AM – 10:00 PM Tuesday: 11:00 AM – 10:00 PM Wednesday: 11:00 AM – 10:00 PM Thursday: 11:00 AM – 10:00 PM Friday: 11:00 AM – 11:00 PM Saturday: 11:00 AM – 11:00 PM Sunday: 11:00 AM – 9:30 PM
Guu with Otokomae|(604) 685-8682|375 Water St #105, Vancouver, BC V6B 5C6, Canada|4.1|49.2847071|-123.1103699| Monday: 11:30 AM – 11:30 PM Tuesday: 11:30 AM – 11:30 PM Wednesday: 11:30 AM – 11:30 PM Thursday: 11:30 AM – 11:30 PM Friday: 11:30 AM – 12:00 AM Saturday: 12:00 PM – 12:00 AM Sunday: 12:00 – 11:30 PM
Earls Kitchen + Bar|(604) 682-6700|905 Hornby St, Vancouver, BC V6Z 1V3, Canada|4.1|49.2815372|-123.123683| Monday: 11:30 AM – 12:00 AM Tuesday: 11:30 AM – 12:00 AM Wednesday: 11:30 AM – 12:00 AM Thursday: 11:30 AM – 12:00 AM Friday: 11:30 AM – 1:00 AM Saturday: 11:30 AM – 1:00 AM Sunday: 11:30 AM – 12:00 AM
